Specimens	Morph	Dentary tooth row length	Scapula blade width	Manual p. I-1 length	Ilium length	Femur length	Femur circumference	Proximal femur width	Tibia length	Tibia shaft width	Fibula length	Fibula shaft width	Astragalus height	Astragalus width	Pedal p. IV-1 length	Body mass (kg)
RSM P2523.8	Robust	595	74.8	98.5	1,545	1,333	590	426	1,140	184	995	62	328	310	184	8,870
CM 9380 (AMNH 973)	Robust	508	73	?	1,540	1,269	534	399	1,166	150	1,025	?	?	?	145	6,740
FMNH PR2081	Robust	585	68	78	1,525	1,321	580	380	1,140	160	1,030	59	?	?	154	8,462
MOR 1125	Robust	492	65.7	?	?	1,150	515	370	1,060	150	915	53	280	295	170	6,100
RTMP 81.12.1, NMC 9950	Robust	?	?	?	?	?	495	?	1,095	155	985	65	?	?	140	5,469
BHI 3033	Gracile	575	?	?	1,540	1,350	505	350	1,065	158	945	55	325	280	?	5,779
MOR 555	Gracile	635	65	89	1,470	1,280	520	370	1,150	170	1,035	56	?	235	176	6,264
MOR 980	Gracile	546	?	?	1,397	1,232	483	?	?	?	?	?	?	?	?	5,112
RTMP 81.6.1	Gracile	530	?	?	?	1,210	460	270	1,030	160	?	52	?	?	107	4,469
BM R8040 (AMNH 5881)	?	?	?	?	?	?	480	330	?	?	?	?	?	?	124	5,025
MOR 009	?	?	?	90	1,180	1,100	469	?	1,105	140	930	?	?	?	?	4,714
USNM 6183	?	?	?	?	?	1,040	426	?	910	?	?	?	?	?	?	3,617