Specimen number,Name,Completeness,Discovery
AMNH 3982,Manospondylus,< 1%,1892
BMNH R7994,Dynamosaurus,13%,1900
CM 9380,Holotype,10%,1902
AMNH 5027,,45%,1908
CMNH 7541,Nanotyrannus,,1942
LACM 23844,,25%,1966
RTMP 1981.6.1,Black Beauty,28%,1980
Private,Stan,65%,1987
MOR 555,Wankel,80-85%,1988
MOR 1125,B-rex/Bob,37%,2000
MOR 1126,C-rex/Celeste,9%,2000
MOR 1128,G-rex/Greg,8%,2001
MOR 1152,F-rex/Frank,8%?,2001
FMNH PR2081,Sue,90%,1990
RSM 2523.8,Scotty,70–75%,1991
PTRM 4667,,10-20%,1992
TCM 2001.90.1,Bucky,34%,1998
BHI 6248,E. D. Cope,10%,1999
BMRP 2002.4.1,Jane,50%,2001
LACM 150167,Thomas,70%,2003
BHI 6437,Bloody Mary,98%,2006
MB.R.91216,Tristan,57%,2010
Private,Baby Bob,20%,2013
RGM 792.000,Trix,75–80%,2013
Private,Titus,20%,2014
UWBM 99000,Tufts-Love,30%,2016
AWMM-IL 2022.9,Peter,47%,2018
AWMM-IL2022.21,Barbara,44.7%,2005
NMMNH P-3698,Tyrannosaurus mcraeensis,,1983